,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,170258063.0,333725999.0,493149505.0,322648979.0,288231541.0,540115410.0,1139394239.0,97984015.0,730724.0,73819145.0,180852710.0,1011129120.0,5164518644.0,14915537.0,480119263.0,136158855.0,49255045.0,421495334.0,312124004.0,270247715.0,258747990.0,671112870.0,3616519350.0
austria,20336533.0,0.0,639058382.0,129721143.0,180867309.0,272666484.0,1292960566.0,22111801136.0,114567825.0,23806168.0,70360509.0,36701973.0,4486744176.0,148878836.0,167100056.0,1609066795.0,146644468.0,112389024.0,758764189.0,650554325.0,1471705679.0,649741239.0,513701268.0,675308007.0
belgium,1737767267.0,894535343.0,0.0,1945817090.0,593316147.0,1964706880.0,19918860565.0,18155912158.0,196227450.0,74136400.0,573356458.0,1708641876.0,3390214790.0,808124598.0,924337750.0,66658419882.0,8423135095.0,662612550.0,3176334154.0,2572653792.0,1029135274.0,1161200009.0,11779151971.0,6896717634.0
canada,794657306.0,273984973.0,536848813.0,0.0,188608073.0,538892923.0,758503410.0,1668859589.0,105286939.0,24375779.0,55290951.0,275012059.0,1143333400.0,1388252741.0,128326371.0,2106207900.0,3448426945.0,146119393.0,598834688.0,376007649.0,278318819.0,627854192.0,2529566560.0,80642471533.0
denmark,12270291.0,295118798.0,744448630.0,334572518.0,0.0,1023876097.0,789414433.0,7246128948.0,106631352.0,91677297.0,271465796.0,21287412.0,1022888332.0,56214694.0,129296230.0,2744021624.0,4718839031.0,182338497.0,538381070.0,4198478959.0,59058345.0,172429576.0,2105959197.0,523201734.0
finland,88159452.0,175098288.0,469970594.0,130776012.0,1300238644.0,0.0,636615586.0,2308035312.0,51895727.0,15944645.0,220652611.0,24861037.0,506407411.0,49710176.0,40558745.0,1319962915.0,1094690961.0,210145669.0,437925333.0,4579854716.0,120395656.0,143576072.0,653297477.0,407398095.0
france,1022571188.0,2191130144.0,32670965734.0,1688022617.0,961000130.0,1643350782.0,0.0,30945767004.0,450521707.0,199226434.0,1210460296.0,566988615.0,16201493674.0,913994294.0,1097156952.0,12939851868.0,6648147821.0,2699850462.0,18122858736.0,2579993686.0,3665493180.0,1669583926.0,9948840712.0,10969905186.0
germany,2041805489.0,16741450150.0,20579125673.0,2644938899.0,7192641388.0,4857656873.0,20575596489.0,0.0,1160279890.0,728781662.0,1271212151.0,541531667.0,20920663117.0,2115750775.0,2224062080.0,56538265930.0,10074790393.0,1947916302.0,10494863792.0,8865146517.0,9363684800.0,4983289233.0,15200849459.0,11878676060.0
greece,2995484.0,214080631.0,501236223.0,119311662.0,351078557.0,123098917.0,1358706915.0,1653988693.0,0.0,2839805.0,30330932.0,181779792.0,1851152280.0,36780504.0,28940972.0,1340466112.0,57262970.0,87429069.0,810105322.0,127499182.0,17037209.0,908002142.0,388393235.0,306333598.0
iceland,669484.0,5953444.0,23267045.0,38995244.0,255236350.0,20715144.0,45084793.0,110990221.0,1100559.0,0.0,18577683.0,1608711.0,88188140.0,4882845.0,2167467.0,101966350.0,524237350.0,2740305.0,33096222.0,87450327.0,7656487.0,9054492.0,151036635.0,275146742.0
ireland,12898959.0,58548260.0,362021250.0,94109696.0,555030676.0,74790745.0,647476912.0,1345499375.0,16743258.0,8749279.0,0.0,22818227.0,250766113.0,24613284.0,34679954.0,1113888004.0,1149748214.0,94619492.0,375180075.0,161062452.0,26060169.0,85443076.0,11430160050.0,861457689.0
israel,75414000.0,171514000.0,2601898000.0,214317000.0,79214000.0,173823000.0,283352000.0,814173000.0,120877000.0,2956000.0,91334000.0,0.0,777823000.0,106876000.0,230581000.0,603919000.0,112570000.0,57028000.0,365084000.0,147694000.0,2875648000.0,1080630000.0,878314000.0,2533255000.0
italy,641168242.0,7165877030.0,4374259375.0,1387475435.0,1142658768.0,1124704819.0,16077988766.0,21610700684.0,2111782642.0,77437311.0,571261280.0,401916170.0,0.0,535887419.0,398561879.0,7340898631.0,1717362078.0,817183533.0,8837178605.0,2174957741.0,2249164674.0,3354855678.0,2867070067.0,5524043899.0
japan,50207875553.0,659920027.0,590624998.0,9627633332.0,859230813.0,909218202.0,1351788002.0,1769136025.0,159887140.0,147974708.0,83264719.0,269417410.0,1266573150.0,0.0,48249447.0,953189109.0,1540742917.0,112208259.0,1122316156.0,754454867.0,218207015.0,258174816.0,849348337.0,24495235376.0
luxembourg,9419143.0,62878714.0,3570503718.0,11319445.0,17697220.0,19796211.0,1637946484.0,2514070704.0,2370779.0,17336916.0,18149664.0,3546502.0,236215427.0,16961374.0,0.0,406324687.0,35996584.0,29786016.0,69326133.0,19382687.0,35771465.0,45569062.0,140179614.0,205184895.0
netherlands,727402795.0,982198538.0,26300032536.0,779443129.0,2706258927.0,3168102414.0,9374580287.0,32824747045.0,407242302.0,559951835.0,960119275.0,427424389.0,3877950537.0,694571246.0,671058153.0,0.0,17043801036.0,1055474786.0,4379789670.0,4004148818.0,408020233.0,1410218961.0,20273400494.0,8215027073.0
norway,36945508.0,162016808.0,669141726.0,1703746040.0,2260123289.0,807803422.0,680936312.0,2287698726.0,30133693.0,133203783.0,200907238.0,40321814.0,698655483.0,341303195.0,71835176.0,1555010472.0,0.0,89068965.0,665834763.0,5496096972.0,239156059.0,147316948.0,1978518022.0,855338426.0
portugal,8419700.0,128926048.0,563613596.0,53556376.0,173384994.0,103520583.0,1804686506.0,1750715275.0,102131306.0,20564936.0,138107240.0,20474192.0,1417504453.0,51499834.0,34740813.0,1249880358.0,121134113.0,0.0,12726404977.0,436389125.0,27433876.0,487983607.0,837755226.0,574405383.0
spain,406145876.0,732657834.0,2398587815.0,968140542.0,705896516.0,739443689.0,11874278807.0,8117887495.0,854193887.0,118794800.0,574095337.0,309006500.0,7145934628.0,218883651.0,258580677.0,4244406467.0,2425344104.0,6328494340.0,0.0,1166576486.0,449635606.0,1430436132.0,3710338242.0,4320488626.0
sweden,233111214.0,614268830.0,1463736701.0,114546933.0,6377064222.0,4977627244.0,1460261036.0,6530772992.0,112035492.0,15467223.0,467705923.0,38394297.0,1283983858.0,171158644.0,265884137.0,3745701437.0,10692122302.0,259252630.0,875458356.0,0.0,234776500.0,299736441.0,3366547812.0,793963021.0
switzerland,262861104.0,2760488225.0,2267155616.0,214934594.0,239274175.0,207764012.0,5832041086.0,17742206706.0,65549739.0,20054987.0,157123870.0,437534991.0,5848539905.0,490274796.0,141282751.0,2811791238.0,155865843.0,205174480.0,1233461314.0,343572724.0,0.0,413144445.0,695574663.0,1743220572.0
turkey,283107514.0,574429378.0,1185489384.0,764724537.0,265485671.0,698401173.0,1982394529.0,4099963616.0,3791523499.0,14443889.0,69544656.0,1596252939.0,4549261493.0,564485860.0,105296671.0,1313163627.0,708824402.0,223099198.0,2011557882.0,927277744.0,331324723.0,0.0,2027165621.0,6455201384.0
united kingdom,1514976575.0,1151594571.0,10255273551.0,4924595733.0,4643205930.0,2880834478.0,10891872521.0,16891143947.0,585700864.0,466192332.0,7937126531.0,739525423.0,6494422794.0,1547588446.0,263727056.0,21014973185.0,23870144839.0,1219730057.0,6501321742.0,6789734846.0,3204453868.0,2085703488.0,0.0,10202634371.0
usa,4310625046.0,1507361202.0,8204910923.0,186776309446.0,725544902.0,2258449637.0,6558677497.0,12618835337.0,670512514.0,179346031.0,533304919.0,10202251255.0,8228741827.0,12695097677.0,330710526.0,6313453003.0,3593897963.0,1719999495.0,4653500547.0,2068817654.0,1733806568.0,3386595828.0,11874895748.0,0.0
