,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
poland,346983176.0,416087962.0,306765676.0,33443909.0,46187630.0,135254.0,45584163.0,1221885280.0,180441288.0,17580636.0,115678930.0,158385192.0,2765734855.0,8432520.0,180058613.0,5765681.0,256864736.0,16643184.0,2566144.0,244250858.0,1154001.0,62271309.0,786247201.0,10572056.0,4990075.0,1172750932.0,3544.0,573077940.0,0.0,4825183.0,1487801.0,638937283.0,32582773.0,153737393.0,435541190.0,2519510.0,26750757.0,553198098.0,689436127.0
portugal,60371.0,295542.0,314895101.0,515623979.0,90366866.0,260175.0,1995200.0,150131.0,2469075.0,7394219.0,355214.0,121583622.0,21071653.0,28689078.0,40451.0,0.0,26138831.0,17413550.0,5667321.0,51891737.0,78111.0,678138.0,1388882.0,3771.0,84983295.0,501514392.0,47.0,165918147.0,2529213.0,0.0,155.0,44971.0,497956.0,3209349137.0,15785956.0,274434.0,29514327.0,103261973.0,1191299990.0
rep. of korea,15440045183.0,457462.0,160132261.0,50766416.0,1975567371.0,267435857.0,10502355838.0,1875251.0,377524.0,2420182.0,163348.0,334836268.0,68667601.0,480866734.0,633983.0,188141.0,2096503650.0,1205467.0,21479502.0,67492620.0,7519685888.0,6900271.0,3010240.0,0.0,2343368194.0,1096938703.0,924070050.0,513331963.0,1168690.0,25182.0,0.0,611846.0,836084.0,259418908.0,4219680.0,4191918.0,38239109.0,2517980415.0,14808111511.0
slovakia,2793.0,805866283.0,9252560.0,311290.0,74907301.0,0.0,375455.0,1543662968.0,35044.0,232358.0,342094.0,23324215.0,230983208.0,188666.0,943519837.0,0.0,0.0,68451.0,8309.0,15995999.0,159346.0,1102566.0,6820108.0,323084.0,2437.0,22322186.0,0.0,1203.0,451890653.0,274.0,508606.0,8954924.0,9536904.0,715543.0,657061.0,4450072.0,24904.0,29086050.0,55825213.0
slovenia,425106.0,750658391.0,30044680.0,23034671.0,449340.0,227465.0,4897802.0,28414505.0,1917230.0,2583427.0,506705.0,14634685.0,108892113.0,102862854.0,219461038.0,339951.0,58227854.0,711789.0,58648494.0,1580805804.0,134232.0,233791.0,2221148.0,23420.0,105.0,6218523.0,335.0,478580.0,28815280.0,316219.0,122315.0,16925342.0,26361.0,45336753.0,1183512.0,33224552.0,305126.0,136240397.0,339603398.0
spain,291787142.0,3201414.0,1231371244.0,2476693845.0,677723721.0,14438829.0,239855784.0,2795788.0,71282549.0,25848290.0,26187465.0,4245025280.0,228887620.0,856040614.0,2256168.0,326301.0,378505871.0,80721515.0,116412379.0,3267704599.0,49841770.0,52254142.0,5312803.0,9793370.0,4041262070.0,2866081647.0,726013.0,1445654933.0,84911828.0,2458530693.0,213144559.0,748781.0,43375139.0,0.0,482088959.0,3857439.0,309430560.0,1556192955.0,4215516257.0
sweden,249780961.0,9948129.0,522667212.0,1303639.0,45648933.0,176686.0,8383120.0,9184142.0,2674140044.0,41609245.0,4031318142.0,205889002.0,1238952771.0,35653138.0,970786.0,19090999.0,814245.0,120906939.0,273489.0,54473366.0,15906552.0,93106899.0,185359646.0,2070.0,402062.0,3873519927.0,277403.0,5454822165.0,390813794.0,15662707.0,3093906.0,440852.0,18416.0,467416275.0,0.0,14069678.0,134196720.0,2930921329.0,919988583.0
switzerland,1456523.0,476498102.0,483429326.0,603065.0,26546953.0,147796.0,41332544.0,10457794.0,1230776.0,816714.0,10390922.0,2184130814.0,4319501568.0,3510196.0,2889145.0,3514744.0,1563979.0,3403055.0,9161912.0,2170316029.0,1010357.0,3129840.0,540469.0,712776.0,126532.0,632191941.0,120393.0,3289839.0,6643952.0,17299059.0,11428767.0,3801528.0,4440263.0,22044794.0,20833778.0,0.0,24587080.0,36567645.0,134125256.0
turkey,420912181.0,1097651.0,198078901.0,1518052.0,112853475.0,1054443.0,126021201.0,1176075.0,25555377.0,4085892.0,13667048.0,69498451.0,109341236.0,1535487866.0,7312529.0,16707.0,2988505860.0,2359116.0,764520283.0,714633602.0,3211694.0,22210773.0,5886410.0,425144.0,1752012.0,260355138.0,35449.0,284697539.0,21258633.0,34941332.0,90212050.0,23062.0,379012.0,613215030.0,72095596.0,6140767.0,0.0,132518550.0,1627887628.0
united kingdom,338077649.0,15317639.0,7116457676.0,5704509.0,1601024957.0,763067.0,5010616089.0,6226139.0,460041197.0,28556621.0,682430220.0,3811940776.0,3504229808.0,256957544.0,5781894.0,789166.0,744884914.0,4084455069.0,27955449.0,736277996.0,216822161.0,69180829.0,164453234.0,169003.0,442086.0,20526361026.0,3206159.0,23766098413.0,607260071.0,65097404.0,2863196413.0,1380537.0,64024770.0,898478509.0,2639053694.0,2416394.0,141886203.0,4921938.0,10237834557.0
usa,546944227.0,196076337.0,3720233433.0,14798466013.0,116820376000.0,5132452937.0,9255382730.0,18048921.0,647551606.0,44230084.0,603412596.0,4366166500.0,734513228.0,298237583.0,4671752.0,176293196.0,9967111809.0,512642634.0,225240871.0,4483688120.0,9968343841.0,17285072.0,653515437.0,10900553.0,50456230124.0,11178435266.0,50299065.0,4053980759.0,506737660.0,1305396123.0,13288104978.0,8743310.0,41868865.0,3926544567.0,653974745.0,232892723.0,1818934414.0,10824554506.0,0.0
