,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,89272479.0,147974488.0,130048188.0,127123362.0,85154684.0,865107614.0,14819500.0,272203331.0,1403229.0,10009725.0,264696928.0,305355332.0,90392462.0,16984203.0,361617.0,234685199.0,52386884.0,17582844.0,486995560.0,114347917.0,1100839.0,2959101.0,442463.0,53804724.0,432885243.0,2178834865.0,80518625.0,77087806.0,9175658.0,115930145.0,1944988.0,1512891.0,104341963.0,24283409.0,165999079.0,123522783.0,359443599.0,1370881800.0
austria,11829834.0,0.0,197202507.0,125731265.0,11933186.0,46704928.0,70332825.0,332189569.0,72565182.0,982527.0,5153649.0,306277277.0,4469503892.0,100013254.0,647210126.0,2792150.0,57626979.0,37207657.0,10973212.0,1200375348.0,4092045.0,3976323.0,29094987.0,13707400.0,10373947.0,593580962.0,22243924.0,49824221.0,421043534.0,19008463.0,5528649.0,190237864.0,107173669.0,487731891.0,25201383.0,425888979.0,233260890.0,84805233.0,70846518.0
belgium,37019702.0,99033499.0,0.0,849803736.0,166424912.0,99508975.0,245823096.0,90617185.0,254163959.0,17801604.0,25666747.0,6414427830.0,3333375133.0,58801116.0,125578139.0,70302152.0,252480580.0,353938085.0,62683180.0,1068641554.0,13805205.0,6561412.0,114045217.0,154265703.0,67655111.0,9273462604.0,398594190.0,3096407.0,521230820.0,128989218.0,11426821.0,24258193.0,6526084.0,1162060530.0,187984745.0,53656207.0,193498144.0,994991324.0,462837738.0
brazil,17378947.0,14510160.0,144416050.0,0.0,103268990.0,818577855.0,350074697.0,776419.0,4307756.0,63479.0,1626596.0,112680189.0,148395584.0,1266348.0,7322627.0,4702627.0,38567569.0,6114347.0,5271485.0,170384894.0,5709544.0,93538.0,0.0,446882.0,30991810.0,186680303.0,27861063.0,118364310.0,20828684.0,155360809.0,2902634.0,244431.0,44296.0,152691277.0,1498096.0,72305781.0,69484358.0,36974923.0,372106689.0
canada,262815102.0,14332599.0,141961355.0,727023442.0,0.0,514533781.0,1104593845.0,4786846.0,77253108.0,8752472.0,2847239.0,250718259.0,269417610.0,89730310.0,28462419.0,37754000.0,413696079.0,44215857.0,50457841.0,436441585.0,83818985.0,3723212.0,7491794.0,15961.0,1896308148.0,137384973.0,287205913.0,86931023.0,95223301.0,26748205.0,107416002.0,1620671.0,1423027.0,258664976.0,33630929.0,186226590.0,186220904.0,186303165.0,17853962293.0
chile,2112222.0,2790411.0,92151028.0,986669983.0,156999354.0,0.0,183059400.0,3241001.0,16019650.0,328830.0,414322.0,68923638.0,124012792.0,2552379.0,3075036.0,109031.0,19529742.0,7335494.0,1473624.0,60551594.0,652220.0,10728.0,22916.0,214.0,81605538.0,103345393.0,82341597.0,6845385.0,16525771.0,2638313.0,2888640.0,174222.0,2511.0,113047785.0,4431159.0,15470451.0,5891505.0,31771323.0,788831892.0
china,5763633464.0,77893202.0,233080741.0,3207873047.0,3643389854.0,2562361151.0,0.0,29752533.0,768036122.0,24886548.0,54398575.0,1453170561.0,1789153865.0,10941673.0,23779549.0,132119398.0,573959177.0,1019250810.0,73413196.0,341677926.0,800777775.0,10410400.0,5498392.0,576700.0,341434512.0,2417111324.0,6491661829.0,582042718.0,174429484.0,27953384.0,740310394.0,1387664.0,7470123.0,898037693.0,71464238.0,197162300.0,113945886.0,445580857.0,6125148094.0
czechia,6379290.0,278402837.0,259568317.0,56347789.0,22384281.0,22401871.0,95570534.0,0.0,59005620.0,3401093.0,10481898.0,250075244.0,1929001306.0,54484772.0,265448029.0,7686202.0,19048308.0,52664498.0,11287442.0,477729902.0,2368649.0,21051350.0,44862169.0,436249.0,28943768.0,483046535.0,6786216.0,79933767.0,1408510928.0,11827570.0,3953658.0,506093197.0,13481932.0,547698569.0,42046450.0,41140391.0,108388253.0,147368154.0,69772800.0
denmark,15902984.0,77756054.0,302626693.0,115628170.0,154451454.0,60839459.0,170359991.0,34653334.0,0.0,28006000.0,78378872.0,325072143.0,2690002920.0,66997468.0,37789593.0,69335171.0,25305801.0,111202826.0,2896692.0,410919426.0,2979262.0,60667658.0,86661490.0,26699796.0,11716483.0,1406702916.0,52364557.0,933681410.0,522139891.0,8802313.0,297274.0,3402242.0,11311196.0,416552273.0,873041559.0,23685308.0,44181793.0,374948816.0,163297490.0
estonia,1318862.0,11220567.0,31598719.0,8571711.0,6484563.0,4587872.0,31826829.0,7189887.0,52256206.0,0.0,132043175.0,24699640.0,121107779.0,10324761.0,20238416.0,976887.0,8065426.0,5021707.0,1427940.0,46359381.0,436922.0,137182831.0,146946227.0,12268.0,785095.0,85596655.0,2813926.0,42781711.0,130650366.0,2249629.0,305061.0,6079955.0,196039.0,65542807.0,46789401.0,6851731.0,10205768.0,15418938.0,21014092.0
finland,5131922.0,36317502.0,181612385.0,131586187.0,12494506.0,18780539.0,37972971.0,32428397.0,320032572.0,172948841.0,0.0,119803245.0,688611720.0,26772766.0,16126446.0,6483622.0,19739752.0,25756277.0,12021100.0,167911268.0,2265635.0,27715752.0,37416420.0,781537.0,6808659.0,420304245.0,24914254.0,399701151.0,189701643.0,10683843.0,1075667.0,16880442.0,4708269.0,291345096.0,595559059.0,27527635.0,20162198.0,80202791.0,40917750.0
france,43099359.0,280528798.0,6353522044.0,1150328829.0,201285517.0,289620135.0,625765389.0,170903353.0,501965024.0,7429103.0,73629828.0,0.0,5730491503.0,207992555.0,296560530.0,250962387.0,419452135.0,996879409.0,204182413.0,4235951159.0,39011977.0,6634229.0,79568908.0,110619249.0,147316275.0,5124076468.0,261193846.0,933697053.0,1497317761.0,451292005.0,73431319.0,28239925.0,12792234.0,7225438457.0,267206706.0,1961617812.0,441579588.0,2185871491.0,763096110.0
