,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
netherlands,243222147.0,520849277.0,3524045931.0,2060359201.0,506431691.0,453581041.0,2094238361.0,252168790.0,493807415.0,46897883.0,1076640552.0,2235124908.0,8734245024.0,101482935.0,386133567.0,9603116.0,342125358.0,204255759.0,259204773.0,1034949758.0,236091579.0,78127556.0,56109255.0,111707626.0,200062187.0,0.0,67890118.0,323485275.0,448863575.0,334703024.0,199470710.0,54601263.0,51597351.0,1322045449.0,776669826.0,404925410.0,632487957.0,2243855056.0,2429210573.0
new zealand,615220699.0,662860.0,27493252.0,4507611.0,102830695.0,8222668.0,810995587.0,5049611.0,6461722.0,783409.0,148740.0,25003939.0,35550475.0,2162319.0,357788.0,0.0,128743071.0,1076387.0,614748.0,89412802.0,296784458.0,1306649.0,4064315.0,0.0,3450083.0,62421973.0,0.0,1663685.0,6288242.0,4705427.0,374883998.0,444.0,8513.0,8657486.0,1139703.0,2192060.0,19475528.0,65877933.0,256352904.0
norway,122964187.0,6351721.0,86909723.0,859310774.0,2081133011.0,33928828.0,135372065.0,5989573.0,272666222.0,33433118.0,113281551.0,98796454.0,474139153.0,3652476.0,2465479.0,18720214.0,36392350.0,201269284.0,3110095.0,71855020.0,59838200.0,15526751.0,15666409.0,5953923.0,705316.0,374253694.0,3127090.0,0.0,67904316.0,14264010.0,9684658.0,2012497.0,1825391.0,96815707.0,956152293.0,9524056.0,13343911.0,201994010.0,49723778.0
poland,65370593.0,144701854.0,204866054.0,121387691.0,67144640.0,116522122.0,365472588.0,567589852.0,167035368.0,17227806.0,119038499.0,325154547.0,2338115357.0,9391074.0,64021458.0,789569.0,58269555.0,36910882.0,31948087.0,274846705.0,34821831.0,25599677.0,43142181.0,10641765.0,3922450.0,546999052.0,7138722.0,101106370.0,0.0,32942993.0,32505342.0,308696926.0,34236414.0,215831172.0,213329690.0,29119177.0,57393013.0,260944240.0,268517779.0
portugal,2214457.0,10967142.0,109510424.0,615581084.0,39196356.0,17431363.0,99050820.0,9597821.0,41705763.0,5503732.0,204261190.0,248012415.0,367251855.0,5321790.0,1646391.0,465635.0,14095644.0,89575802.0,14410099.0,174526169.0,17542934.0,136929.0,2061067.0,2205662.0,6333000.0,324799168.0,4788692.0,18905583.0,35026497.0,0.0,14813274.0,777626.0,1578651.0,2053348918.0,182568529.0,13908077.0,49202584.0,319197591.0,234326477.0
rep. of korea,4870416695.0,76558831.0,88391780.0,2307764150.0,1308828280.0,1960537184.0,2955230661.0,3874154.0,22217921.0,15134385.0,14282563.0,119339794.0,260758280.0,17063945.0,3277103.0,6054419.0,579604342.0,18096282.0,78031730.0,61363189.0,2800092998.0,4691093.0,7501253.0,149382.0,287556046.0,313028852.0,548035161.0,8724824.0,22137750.0,17483252.0,0.0,464740.0,9434554.0,89779434.0,22462180.0,32791006.0,95050902.0,356083305.0,4927067499.0
slovakia,5170215.0,245094235.0,35055999.0,40280586.0,922479.0,733025.0,27973711.0,612838715.0,12678142.0,2707399.0,4169957.0,109603948.0,378915349.0,42235400.0,313925030.0,1396.0,4718064.0,1028491.0,452841.0,243381869.0,2558055.0,1517918.0,2361717.0,84322.0,884864.0,45632225.0,27154.0,468775.0,289904417.0,654120.0,1557240.0,0.0,27564151.0,5362732.0,13173567.0,7033820.0,6730927.0,31703932.0,37504689.0
slovenia,8575658.0,323783054.0,13440635.0,36208363.0,33056097.0,27233370.0,8242079.0,85527615.0,4056519.0,2105985.0,832385.0,23176726.0,358535264.0,46243356.0,75910783.0,17042.0,1881091.0,5511594.0,458582.0,513236169.0,2274996.0,402990.0,590782.0,640245.0,11009298.0,61538969.0,336023.0,3791210.0,37249285.0,677964.0,7587326.0,116959387.0,5149762.0,19566995.0,7315215.0,7487102.0,3658919.0,8357933.0,98530712.0
spain,186003806.0,130066694.0,287746223.0,2026117625.0,272265810.0,704859993.0,698871284.0,47650270.0,129122197.0,22345026.0,122210392.0,2742203949.0,1122942496.0,48815316.0,41776575.0,16039409.0,108628854.0,172630536.0,67893422.0,1005838470.0,215073427.0,64810497.0,55113115.0,20602313.0,233361360.0,1606026038.0,10817630.0,85534636.0,287813709.0,1876317509.0,105429993.0,6412608.0,10759440.0,0.0,294877839.0,40790183.0,308737758.0,1119465105.0,1162686042.0
sweden,4471807.0,121946860.0,356387037.0,154076716.0,48738299.0,327077005.0,226241021.0,23361777.0,989235562.0,130872917.0,1183418858.0,479848201.0,2614312655.0,85038701.0,136627664.0,4618154.0,147053524.0,174441169.0,22797953.0,427217164.0,271148617.0,296174816.0,64584021.0,4588914.0,24748746.0,1320490051.0,967889.0,1192809017.0,254998517.0,217869228.0,19524530.0,15530117.0,5938263.0,263082166.0,0.0,63092110.0,384528108.0,1456637749.0,334748194.0
switzerland,5963070.0,352737531.0,115742444.0,46812469.0,29928252.0,16378280.0,52642558.0,25731313.0,31434110.0,321511.0,123723681.0,426776082.0,1723577552.0,1156083.0,10340325.0,142261.0,18439284.0,3550245.0,15982849.0,797901486.0,149391584.0,302920.0,1423536.0,18903866.0,753351.0,352931803.0,2804876.0,21847281.0,24300304.0,21355293.0,27199416.0,3920151.0,15745295.0,51791759.0,95137876.0,0.0,11548390.0,150003965.0,116352679.0
turkey,58695361.0,136051678.0,572377588.0,671127458.0,399910486.0,30492239.0,1205226097.0,37681511.0,305195471.0,249933621.0,144793411.0,150449399.0,585308838.0,240740390.0,29830686.0,1082210.0,221663180.0,12498877.0,162962411.0,344972962.0,61814903.0,16943649.0,139740013.0,1997358.0,8476433.0,714085754.0,15839353.0,12480470.0,34928179.0,46767824.0,92190694.0,2128255.0,3969632.0,313417446.0,337397726.0,14094159.0,0.0,990837775.0,3870570097.0
united kingdom,258816386.0,91470110.0,874396750.0,1519180886.0,2255194527.0,188934881.0,1903497697.0,70677555.0,167619417.0,64414543.0,519693092.0,1116314375.0,1880285815.0,157700251.0,131551595.0,19819858.0,952702458.0,1007431635.0,67617209.0,758587957.0,209797180.0,214156794.0,77315472.0,21170150.0,23308179.0,2329669431.0,26200829.0,295364323.0,277493701.0,364440508.0,342146355.0,68437016.0,7634036.0,1187838048.0,1175594301.0,189229663.0,694728518.0,15548247.0,3226548457.0
usa,1067794063.0,151293913.0,1454172400.0,3045609401.0,21234146810.0,1226438860.0,22088814024.0,57419507.0,95839000.0,26554371.0,268624923.0,857845662.0,3403041436.0,274894739.0,41399596.0,106495460.0,1567886842.0,122551884.0,338546982.0,1578640105.0,5509299505.0,7661349.0,15337773.0,41717616.0,8532813455.0,2118215030.0,279001017.0,57629692.0,197141169.0,235186467.0,4016180207.0,75460089.0,39065204.0,919236872.0,404485637.0,1816389460.0,3137115362.0,3037176433.0,0.0
