,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
germany,1039018439.0,24852937350.0,21066027348.0,3102876344.0,1703000517.0,1890823440.0,15042618015.0,16092551207.0,6109480498.0,524910108.0,6934569881.0,35720701499.0,0.0,1817998173.0,6696119874.0,732137626.0,3499796091.0,1351134029.0,775585848.0,30854907424.0,3463424879.0,490893359.0,642307738.0,3971081599.0,2156930266.0,26775465009.0,165822792.0,3596159043.0,21022061327.0,2601064853.0,1908497588.0,4921630916.0,2611304361.0,13012923726.0,11000239086.0,17729379291.0,5442973105.0,19066887861.0,14544490000.0
greece,77390342.0,268075947.0,372407074.0,54499623.0,74024676.0,115840815.0,1053737318.0,98064311.0,54991505.0,4090178.0,142878306.0,740711344.0,1679224355.0,0.0,75523169.0,499332.0,202600764.0,28123661.0,87928355.0,3227639707.0,94145420.0,3797557.0,8915218.0,47450497.0,10512985.0,534008018.0,3524918.0,113401949.0,203448372.0,119825161.0,139114654.0,57086880.0,59156547.0,686832843.0,161401337.0,55974090.0,1130564925.0,395131286.0,494628632.0
hungary,7435000.0,2209855000.0,452772000.0,26001000.0,27168000.0,1808000.0,241421000.0,1341885000.0,193040000.0,14104000.0,223071000.0,959242000.0,6841526000.0,62571000.0,0.0,155000.0,44295000.0,17838000.0,15707000.0,1761900000.0,173948000.0,25044000.0,23938000.0,120031000.0,9966000.0,711587000.0,2703000.0,48861000.0,1463840000.0,40302000.0,91997000.0,1509169000.0,289887000.0,354457000.0,321258000.0,187974000.0,376475000.0,567397000.0,297390000.0
iceland,139937.0,6906218.0,20020783.0,477891.0,18133023.0,374493.0,65426410.0,6084675.0,102333907.0,3863298.0,20925811.0,79543648.0,557922573.0,575586.0,981950.0,0.0,5145623.0,1001058.0,329981.0,36009123.0,15014835.0,21882018.0,17563347.0,7357002.0,4036283.0,1651892398.0,348066.0,54973970.0,22787779.0,4125483.0,8610578.0,908857.0,980920.0,17347612.0,82453742.0,41132897.0,5622119.0,91993126.0,38275948.0
ireland,15359405.0,54000012.0,262975047.0,27444127.0,32733117.0,1811413.0,515541940.0,24472057.0,101028952.0,1921635.0,70191663.0,371276870.0,1033556124.0,11042811.0,75449831.0,1044369.0,98360509.0,0.0,11309244.0,321644917.0,52306396.0,19854291.0,5720498.0,42382136.0,6202136.0,215433119.0,3807373.0,80760015.0,82912342.0,88528494.0,40294206.0,2247457.0,10592899.0,317083693.0,274466946.0,53123686.0,139339536.0,5023496490.0,612411108.0
israel,237379000.0,111559000.0,6825399000.0,77843000.0,230990000.0,14724000.0,1272185000.0,42329000.0,20349000.0,4782000.0,88193000.0,436306000.0,809044000.0,104129000.0,17045000.0,10622000.0,2135218000.0,13242000.0,0.0,841390000.0,231600000.0,5845000.0,2334000.0,126509000.0,38008000.0,210848000.0,21174000.0,18674000.0,56626000.0,66233000.0,152951000.0,8611000.0,39989000.0,272589000.0,141478000.0,2564228000.0,1009166000.0,1412963000.0,11466414000.0
italy,987164459.0,7175976497.0,5726880918.0,1876681686.0,1036967905.0,2646301095.0,10522481254.0,2879817683.0,894367971.0,124955413.0,1432384136.0,21636132269.0,31467780168.0,3165890361.0,2147787584.0,24303803.0,2665107620.0,386756451.0,862269344.0,0.0,1198391470.0,136369137.0,304832983.0,1127836262.0,1177285729.0,5819081073.0,228035120.0,866321437.0,4424737655.0,1856221059.0,1612865064.0,1578912615.0,2345925438.0,11410945533.0,2989120870.0,4813766801.0,4303502717.0,6880239389.0,7183850920.0
japan,4331368982.0,457225074.0,1294519404.0,1973367453.0,1972723748.0,706560868.0,38245199775.0,306728419.0,103824612.0,51583036.0,857105261.0,1344287723.0,3208376355.0,115532216.0,123691767.0,10971492.0,2400970367.0,45402560.0,209393359.0,1091269824.0,0.0,9479952.0,25993345.0,40187929.0,1625511156.0,1066041150.0,975841562.0,785187117.0,221224992.0,84204296.0,20165696063.0,19961000.0,17173714.0,388644893.0,567969815.0,1092382745.0,353077509.0,2233690779.0,13110189021.0
latvia,1534340.0,53205488.0,69140264.0,5376271.0,6231515.0,516525.0,98435931.0,63572360.0,214225464.0,408100751.0,214125415.0,78788291.0,526498056.0,3784323.0,31694802.0,19465584.0,11307203.0,32586997.0,2572877.0,141538230.0,4648495.0,0.0,535346931.0,9813462.0,175345.0,105695980.0,790752.0,135413002.0,461400181.0,12331752.0,22029028.0,56269921.0,5277050.0,37309590.0,260126859.0,13716068.0,15619684.0,128620107.0,36650547.0
lithuania,1969349.0,61330243.0,89029486.0,12035103.0,4132314.0,1423463.0,206758557.0,135665214.0,255962295.0,238836468.0,179890656.0,127248721.0,737739335.0,7892914.0,30292574.0,11222812.0,13564893.0,10007902.0,2056884.0,250996702.0,11186131.0,586202455.0,0.0,11108136.0,819998.0,128108234.0,858302.0,121792145.0,898372622.0,17417761.0,15685676.0,60094740.0,12010709.0,65597060.0,293890605.0,11786835.0,62793115.0,211625606.0,29426102.0
luxembourg,33398678.0,243843177.0,1700909233.0,94080439.0,71270871.0,6845647.0,180598502.0,200327853.0,116459293.0,8579364.0,117094912.0,2332328952.0,3622269096.0,13930315.0,50523951.0,7850570.0,26198378.0,37884449.0,8214613.0,533390587.0,35777989.0,7763409.0,9826202.0,0.0,33975296.0,877709776.0,1786666.0,86865226.0,473056214.0,43040831.0,38152992.0,43860908.0,36727784.0,245233146.0,213570076.0,120993646.0,108079773.0,629701940.0,343572733.0
