,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,198916207.0,428796189.0,862313354.0,319366835.0,345087791.0,500183389.0,1119865092.0,122693949.0,3047872.0,442143183.0,190688495.0,974689081.0,2930070583.0,11848336.0,357445518.0,74240448.0,52485058.0,284574969.0,387818319.0,177655098.0,155321470.0,693568396.0,3092410269.0
austria,46707929.0,0.0,855736986.0,225012084.0,196181790.0,372407204.0,1524776891.0,25588890920.0,99490289.0,8673603.0,141446912.0,46997044.0,5058774480.0,199236089.0,143433883.0,1739497191.0,184429680.0,166676853.0,710643270.0,730340441.0,1417795980.0,481798470.0,665055249.0,550596642.0
belgium,1178757260.0,911927959.0,0.0,2110120338.0,578187860.0,1514541004.0,20379447970.0,18461049541.0,164434658.0,82762123.0,394343725.0,2550591972.0,3645444582.0,1219152268.0,1516825127.0,57452157453.0,6062254171.0,490894825.0,3167216395.0,2195676709.0,1047052341.0,1160436511.0,11896328120.0,4802743643.0
canada,680554277.0,242110237.0,987627402.0,0.0,317905015.0,290809319.0,904907750.0,1659741811.0,81214441.0,19356015.0,74494901.0,261692927.0,1215150065.0,1464340003.0,78762276.0,1021468647.0,5622541528.0,235480812.0,748588917.0,407070613.0,242976949.0,377012339.0,5951612325.0,67927457427.0
denmark,27054528.0,496163542.0,928879197.0,310088937.0,0.0,1269742103.0,1212224499.0,7752781186.0,59946743.0,116108063.0,256347779.0,28652319.0,1236357769.0,59988367.0,119565223.0,2705605427.0,3773561381.0,128453412.0,623562397.0,6267874732.0,129986055.0,185491258.0,1736574007.0,552153034.0
finland,877600321.0,199242555.0,572529341.0,767084016.0,828470193.0,0.0,713268127.0,2975806426.0,204795574.0,13106103.0,163215954.0,27187920.0,655379140.0,85251319.0,62279552.0,1978539398.0,1877742520.0,293036727.0,429767033.0,3896021793.0,103972998.0,144176816.0,963941405.0,637529905.0
france,1650859998.0,2146985588.0,36200177267.0,1554427438.0,1359609944.0,1965047871.0,0.0,32754604854.0,570897845.0,117615453.0,1000278755.0,602642715.0,19001991296.0,1065893269.0,1869020520.0,11747037343.0,11810372369.0,1996250498.0,16076537312.0,3169738014.0,3326464314.0,1526932113.0,11266629473.0,6084335321.0
germany,1790500589.0,15561607800.0,22866020471.0,2925526852.0,6760368588.0,6488980496.0,25601063551.0,0.0,1502064175.0,744192406.0,2107491901.0,664008676.0,22871960383.0,2488652579.0,3218516687.0,46467358250.0,14798304056.0,1680702064.0,10688620640.0,9719204620.0,9967983702.0,4103176460.0,21551858508.0,10219203311.0
greece,23502095.0,395453243.0,783345504.0,117255549.0,316060342.0,242602564.0,1684269047.0,2540021764.0,0.0,12632830.0,52636062.0,137160367.0,3843469442.0,88416959.0,41185442.0,1772258346.0,462231474.0,98038344.0,981504405.0,256899824.0,56651593.0,1328672629.0,448691874.0,757194574.0
iceland,266228570.0,9954594.0,33642391.0,38037962.0,198015703.0,26116305.0,36575354.0,157700468.0,763332.0,0.0,28157000.0,1916371.0,49210345.0,6556091.0,7431178.0,143287744.0,432844037.0,4876224.0,29939921.0,364455410.0,124253809.0,7572680.0,80112961.0,203853076.0
ireland,44097523.0,61934519.0,590429457.0,65097490.0,789966791.0,130483037.0,888570613.0,2003219684.0,17946612.0,7056931.0,0.0,28206539.0,409616128.0,36095384.0,45466290.0,1057933568.0,1494385588.0,98172083.0,445337684.0,272070969.0,55453438.0,138019814.0,13501685920.0,885728351.0
