,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
finland,877600321.0,199242555.0,572529341.0,686252537.0,767084016.0,320645813.0,551660622.0,170751508.0,828470193.0,739031594.0,0.0,713268127.0,2975806426.0,204795574.0,42417563.0,13106103.0,108216099.0,163215954.0,27187920.0,655379140.0,85251319.0,267871454.0,142621612.0,62279552.0,89159046.0,1978539398.0,26341572.0,1877742520.0,554904031.0,293036727.0,102552919.0,57445095.0,27833420.0,429767033.0,3896021793.0,103972998.0,144176816.0,963941405.0,637529905.0
france,1650859998.0,2146985588.0,36200177267.0,4589433937.0,1554427438.0,2417493321.0,5988315339.0,1198358555.0,1359609944.0,125488311.0,1965047871.0,0.0,32754604854.0,570897845.0,729250879.0,117615453.0,2072004098.0,1000278755.0,602642715.0,19001991296.0,1065893269.0,195241859.0,1056882877.0,1869020520.0,229364943.0,11747037343.0,408856667.0,11810372369.0,3399207573.0,1996250498.0,422020826.0,538626939.0,246193673.0,16076537312.0,3169738014.0,3326464314.0,1526932113.0,11266629473.0,6084335321.0
germany,1790500589.0,15561607800.0,22866020471.0,9542090770.0,2925526852.0,3064489843.0,12915037369.0,10434813659.0,6760368588.0,234918712.0,6488980496.0,25601063551.0,0.0,1502064175.0,4216377990.0,744192406.0,2518340197.0,2107491901.0,664008676.0,22871960383.0,2488652579.0,425640718.0,658158969.0,3218516687.0,1061479240.0,46467358250.0,760781421.0,14798304056.0,14669737124.0,1680702064.0,1056044686.0,2888951881.0,1451359039.0,10688620640.0,9719204620.0,9967983702.0,4103176460.0,21551858508.0,10219203311.0
greece,23502095.0,395453243.0,783345504.0,257586255.0,117255549.0,123828597.0,1089686565.0,83490184.0,316060342.0,6523599.0,242602564.0,1684269047.0,2540021764.0,0.0,205036930.0,12632830.0,498390677.0,52636062.0,137160367.0,3843469442.0,88416959.0,3860525.0,7677448.0,41185442.0,15161148.0,1772258346.0,43713874.0,462231474.0,202814181.0,98038344.0,172652889.0,58525016.0,39386173.0,981504405.0,256899824.0,56651593.0,1328672629.0,448691874.0,757194574.0
hungary,3464000.0,2549992000.0,411422000.0,34491000.0,30053000.0,1266000.0,243937000.0,1256025000.0,152840000.0,9652000.0,209559000.0,945166000.0,5855330000.0,65969000.0,0.0,0.0,32041000.0,17133000.0,13814000.0,1575411000.0,144172000.0,17611000.0,20143000.0,55439000.0,5109000.0,1202624000.0,876000.0,15258000.0,1356971000.0,37148000.0,88521000.0,2122355000.0,234585000.0,312834000.0,314945000.0,312409000.0,316425000.0,364302000.0,420764000.0
iceland,266228570.0,9954594.0,33642391.0,18026655.0,38037962.0,2814847.0,72327424.0,7058207.0,198015703.0,24945898.0,26116305.0,36575354.0,157700468.0,763332.0,1907896.0,0.0,6683656.0,28157000.0,1916371.0,49210345.0,6556091.0,31767276.0,55710745.0,7431178.0,4305496.0,143287744.0,2552696.0,432844037.0,49579536.0,4876224.0,6003323.0,882805.0,1052751.0,29939921.0,364455410.0,124253809.0,7572680.0,80112961.0,203853076.0
india,6927864487.0,226191520.0,4293079874.0,670785831.0,1163982167.0,1697214419.0,8321807145.0,59845975.0,102278348.0,10176958.0,251234155.0,740518686.0,1868664479.0,66824771.0,11709047.0,411184.0,0.0,30402418.0,606299601.0,1004342769.0,1925502603.0,16753363.0,3434711.0,6816880.0,1334003736.0,461017829.0,420194235.0,221088174.0,88966851.0,29613865.0,3259535209.0,4295316.0,29082449.0,290555844.0,448082812.0,635452235.0,1568079166.0,3216157168.0,4291893631.0
ireland,44097523.0,61934519.0,590429457.0,262793162.0,65097490.0,23401713.0,568688183.0,19234874.0,789966791.0,2000531.0,130483037.0,888570613.0,2003219684.0,17946612.0,73593106.0,7056931.0,108085014.0,0.0,28206539.0,409616128.0,36095384.0,42728598.0,30122518.0,45466290.0,6030188.0,1057933568.0,18324710.0,1494385588.0,225878946.0,98172083.0,39106372.0,2160253.0,10945984.0,445337684.0,272070969.0,55453438.0,138019814.0,13501685920.0,885728351.0
israel,198787000.0,131262000.0,3162844000.0,246668000.0,188272000.0,29172000.0,1154868000.0,30904000.0,56326000.0,3018000.0,158413000.0,374980000.0,789480000.0,102450000.0,62830000.0,16590000.0,1221916000.0,97277000.0,0.0,798446000.0,81186000.0,313800000.0,12801000.0,161814000.0,12436000.0,568053000.0,15562000.0,25569000.0,51993000.0,75435000.0,139472000.0,8020000.0,31233000.0,252184000.0,152809000.0,2702469000.0,917736000.0,1269734000.0,2780556000.0
italy,1572837745.0,7318754997.0,5218043724.0,4633051020.0,1768329693.0,3149490102.0,10077644098.0,1778668358.0,1325966851.0,57767221.0,1124670280.0,17312454206.0,22905670309.0,1709902973.0,1721665424.0,836036.0,2395110380.0,688872891.0,727568203.0,0.0,764510395.0,64231220.0,260993353.0,1031799660.0,362565173.0,7340659442.0,297057834.0,1807804101.0,2162542864.0,733879391.0,1224814435.0,952152075.0,1616374353.0,8330385863.0,2511289028.0,4781686192.0,3550706310.0,4225813650.0,5836283030.0
japan,46688350350.0,617105286.0,752984085.0,8404245985.0,10796114567.0,7649453582.0,31574156820.0,124437363.0,1083887151.0,42737276.0,1056288657.0,1356580855.0,1942772318.0,76965929.0,103443388.0,137043353.0,4090219314.0,77828985.0,260459359.0,1256137141.0,0.0,30744831.0,9509767.0,28192423.0,1567519044.0,1320298573.0,2516082762.0,1423338591.0,102760104.0,75598782.0,11721480482.0,3520328.0,6768055.0,722008489.0,621352272.0,587958174.0,252131840.0,1457751216.0,28081272186.0
latvia,608576.0,53821843.0,77268890.0,9074806.0,6661580.0,3098393.0,110553310.0,43979249.0,200249388.0,443783834.0,165472983.0,67570422.0,424474849.0,7948746.0,42415721.0,2070655.0,15478156.0,3396521.0,5324000.0,138904576.0,6005453.0,0.0,1595204976.0,11813023.0,2495487.0,216606150.0,1776586.0,100163410.0,467573235.0,11507695.0,10418338.0,22873489.0,5836155.0,78749750.0,221129365.0,10185413.0,24091991.0,71624015.0,23129985.0
lithuania,2006437.0,82559659.0,155343496.0,29264651.0,10095126.0,10018880.0,239294156.0,113930316.0,217044251.0,294889519.0,217392678.0,133872930.0,869908437.0,17963759.0,60350552.0,16112960.0,22742591.0,9372905.0,13141788.0,271790836.0,9354449.0,687069012.0,0.0,11583446.0,120408.0,460513822.0,4297141.0,114591018.0,1405593881.0,15060586.0,20259555.0,74140404.0,13560108.0,176264118.0,281118323.0,10685492.0,71575451.0,171116867.0,49626677.0
luxembourg,2206718.0,88576668.0,3896461654.0,81634684.0,7039633.0,1333972.0,45650940.0,105451028.0,22626932.0,465381.0,58237785.0,1824273048.0,3066850447.0,3134928.0,7213903.0,4894489.0,14357870.0,3626658.0,744553.0,164974466.0,12018772.0,272037.0,481475.0,0.0,702324.0,517008760.0,2848900.0,44462632.0,308041450.0,24690890.0,2989222.0,7144534.0,18580978.0,88300779.0,57709614.0,49728860.0,48492593.0,191563588.0,99994820.0
mexico,376037886.0,190233072.0,272466417.0,1533986191.0,3725324510.0,2102646335.0,3618891587.0,53401108.0,52283864.0,128889995.0,140633215.0,1160029486.0,1632730283.0,244930055.0,11150993.0,668592.0,407257364.0,103908150.0,105875502.0,2094591724.0,2252981778.0,430986.0,70038456.0,28481255.0,0.0,3571648636.0,357003904.0,178722323.0,36953575.0,155736446.0,1442909879.0,8757111.0,10743568.0,1451429401.0,275601626.0,102778931.0,53933619.0,745396919.0,61416605780.0
netherlands,457172841.0,988631514.0,20814245440.0,5997547853.0,1047056738.0,1291244435.0,4988570434.0,611852112.0,1090098760.0,111725659.0,3030922460.0,9623228506.0,26220431488.0,228754398.0,452967508.0,635136149.0,1891377907.0,609521056.0,523874638.0,3110685246.0,591383908.0,192646605.0,211846137.0,888195711.0,575944713.0,0.0,332268314.0,6096091700.0,1731254101.0,734326856.0,615895359.0,165129240.0,105657840.0,3248600658.0,3010813787.0,475812447.0,968799857.0,13352947637.0,6146259504.0
new zealand,3311666614.0,17977378.0,53849739.0,50035028.0,194913004.0,28517418.0,978854900.0,10099004.0,37561636.0,145956.0,48444947.0,96982087.0,188696944.0,8598359.0,4390648.0,797111.0,105961709.0,35380507.0,15869881.0,169432031.0,624417879.0,837622.0,36150019.0,4678979.0,13083010.0,72961708.0,0.0,10687882.0,7134589.0,8784230.0,433350488.0,2168949.0,1997212.0,65040154.0,35608364.0,21488168.0,34211444.0,116609373.0,547428885.0
