Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Trade Value (US$)
2007,import,new zealand,australia,0,Food and live animals,954621597
2007,import,new zealand,austria,0,Food and live animals,487244
2007,import,new zealand,belgium,0,Food and live animals,15702418
2007,import,new zealand,brazil,0,Food and live animals,48569092
2007,import,new zealand,canada,0,Food and live animals,61866870
2007,import,new zealand,chile,0,Food and live animals,17480843
2007,import,new zealand,china,0,Food and live animals,93345134
2007,import,new zealand,czechia,0,Food and live animals,873479
2007,import,new zealand,denmark,0,Food and live animals,9182011
2007,import,new zealand,estonia,0,Food and live animals,1887
2007,import,new zealand,finland,0,Food and live animals,7781009
2007,import,new zealand,france,0,Food and live animals,18596671
2007,import,new zealand,germany,0,Food and live animals,24384172
2007,import,new zealand,greece,0,Food and live animals,3468754
2007,import,new zealand,hungary,0,Food and live animals,345729
2007,import,new zealand,iceland,0,Food and live animals,82232
2007,import,new zealand,ireland,0,Food and live animals,24180075
2007,import,new zealand,israel,0,Food and live animals,935493
2007,import,new zealand,italy,0,Food and live animals,31602607
2007,import,new zealand,japan,0,Food and live animals,8507262
2007,import,new zealand,rep. of korea,0,Food and live animals,13166036
2007,import,new zealand,luxembourg,0,Food and live animals,139960
2007,import,new zealand,mexico,0,Food and live animals,1743712
2007,import,new zealand,netherlands,0,Food and live animals,31062194
2007,import,new zealand,norway,0,Food and live animals,875333
2007,import,new zealand,poland,0,Food and live animals,1097669
2007,import,new zealand,portugal,0,Food and live animals,481901
2007,import,new zealand,india,0,Food and live animals,18698735
2007,import,new zealand,slovakia,0,Food and live animals,570703
2007,import,new zealand,slovenia,0,Food and live animals,30190
2007,import,new zealand,spain,0,Food and live animals,10472495
2007,import,new zealand,sweden,0,Food and live animals,6472399
2007,import,new zealand,switzerland,0,Food and live animals,7250871
2007,import,new zealand,turkey,0,Food and live animals,17696513
2007,import,new zealand,united kingdom,0,Food and live animals,28661466
2007,import,new zealand,usa,0,Food and live animals,199162111
2007,import,new zealand,australia,2,"Crude materials, inedible, except fuels",284982432
2007,import,new zealand,austria,2,"Crude materials, inedible, except fuels",233884
2007,import,new zealand,belgium,2,"Crude materials, inedible, except fuels",731086
2007,import,new zealand,brazil,2,"Crude materials, inedible, except fuels",14347007
2007,import,new zealand,canada,2,"Crude materials, inedible, except fuels",47787477
2007,import,new zealand,chile,2,"Crude materials, inedible, except fuels",2876255
2007,import,new zealand,china,2,"Crude materials, inedible, except fuels",27327873
2007,import,new zealand,czechia,2,"Crude materials, inedible, except fuels",60619
2007,import,new zealand,denmark,2,"Crude materials, inedible, except fuels",900258
2007,import,new zealand,finland,2,"Crude materials, inedible, except fuels",14386
2007,import,new zealand,france,2,"Crude materials, inedible, except fuels",4431746
2007,import,new zealand,germany,2,"Crude materials, inedible, except fuels",3811574
2007,import,new zealand,greece,2,"Crude materials, inedible, except fuels",1486
2007,import,new zealand,hungary,2,"Crude materials, inedible, except fuels",116660
2007,import,new zealand,iceland,2,"Crude materials, inedible, except fuels",15085
2007,import,new zealand,ireland,2,"Crude materials, inedible, except fuels",95563
2007,import,new zealand,israel,2,"Crude materials, inedible, except fuels",477198
2007,import,new zealand,italy,2,"Crude materials, inedible, except fuels",3020789
2007,import,new zealand,japan,2,"Crude materials, inedible, except fuels",5713455
2007,import,new zealand,rep. of korea,2,"Crude materials, inedible, except fuels",4316319
2007,import,new zealand,latvia,2,"Crude materials, inedible, except fuels",18516
2007,import,new zealand,lithuania,2,"Crude materials, inedible, except fuels",947
2007,import,new zealand,luxembourg,2,"Crude materials, inedible, except fuels",9626
2007,import,new zealand,mexico,2,"Crude materials, inedible, except fuels",777480
2007,import,new zealand,netherlands,2,"Crude materials, inedible, except fuels",10264188
2007,import,new zealand,norway,2,"Crude materials, inedible, except fuels",783234
2007,import,new zealand,poland,2,"Crude materials, inedible, except fuels",64572
2007,import,new zealand,portugal,2,"Crude materials, inedible, except fuels",578014
2007,import,new zealand,india,2,"Crude materials, inedible, except fuels",7045062
2007,import,new zealand,slovakia,2,"Crude materials, inedible, except fuels",82
2007,import,new zealand,spain,2,"Crude materials, inedible, except fuels",1614461
2007,import,new zealand,sweden,2,"Crude materials, inedible, except fuels",93791
2007,import,new zealand,switzerland,2,"Crude materials, inedible, except fuels",94746
2007,import,new zealand,turkey,2,"Crude materials, inedible, except fuels",104991
2007,import,new zealand,united kingdom,2,"Crude materials, inedible, except fuels",10694812
2007,import,new zealand,usa,2,"Crude materials, inedible, except fuels",34938637
2007,import,new zealand,australia,3,"Mineral fuels, lubricants and related materials",1017853915
2007,import,new zealand,austria,3,"Mineral fuels, lubricants and related materials",21968
2007,import,new zealand,belgium,3,"Mineral fuels, lubricants and related materials",1355380
2007,import,new zealand,brazil,3,"Mineral fuels, lubricants and related materials",1415
2007,import,new zealand,canada,3,"Mineral fuels, lubricants and related materials",657001
2007,import,new zealand,china,3,"Mineral fuels, lubricants and related materials",2667667
2007,import,new zealand,denmark,3,"Mineral fuels, lubricants and related materials",71582
2007,import,new zealand,finland,3,"Mineral fuels, lubricants and related materials",69191
2007,import,new zealand,france,3,"Mineral fuels, lubricants and related materials",984511
2007,import,new zealand,germany,3,"Mineral fuels, lubricants and related materials",2017683
2007,import,new zealand,hungary,3,"Mineral fuels, lubricants and related materials",7741
2007,import,new zealand,ireland,3,"Mineral fuels, lubricants and related materials",4875
2007,import,new zealand,israel,3,"Mineral fuels, lubricants and related materials",1345
2007,import,new zealand,italy,3,"Mineral fuels, lubricants and related materials",201782
2007,import,new zealand,japan,3,"Mineral fuels, lubricants and related materials",261685499
2007,import,new zealand,rep. of korea,3,"Mineral fuels, lubricants and related materials",118052711
2007,import,new zealand,lithuania,3,"Mineral fuels, lubricants and related materials",31693
2007,import,new zealand,luxembourg,3,"Mineral fuels, lubricants and related materials",7526
2007,import,new zealand,mexico,3,"Mineral fuels, lubricants and related materials",45
2007,import,new zealand,netherlands,3,"Mineral fuels, lubricants and related materials",1035292
2007,import,new zealand,norway,3,"Mineral fuels, lubricants and related materials",3478
2007,import,new zealand,india,3,"Mineral fuels, lubricants and related materials",4064398
2007,import,new zealand,slovenia,3,"Mineral fuels, lubricants and related materials",52398
2007,import,new zealand,spain,3,"Mineral fuels, lubricants and related materials",16336
2007,import,new zealand,sweden,3,"Mineral fuels, lubricants and related materials",290091
2007,import,new zealand,switzerland,3,"Mineral fuels, lubricants and related materials",91516
2007,import,new zealand,united kingdom,3,"Mineral fuels, lubricants and related materials",1805312
2007,import,new zealand,usa,3,"Mineral fuels, lubricants and related materials",48057296
2007,import,new zealand,australia,6,Manufactured goods classified chiefly by material,1185006618
2007,import,new zealand,austria,6,Manufactured goods classified chiefly by material,19552644
2007,import,new zealand,belgium,6,Manufactured goods classified chiefly by material,45268059
2007,import,new zealand,brazil,6,Manufactured goods classified chiefly by material,9456586
2007,import,new zealand,canada,6,Manufactured goods classified chiefly by material,23392544
2007,import,new zealand,chile,6,Manufactured goods classified chiefly by material,4765942
2007,import,new zealand,china,6,Manufactured goods classified chiefly by material,682166309
2007,import,new zealand,czechia,6,Manufactured goods classified chiefly by material,4951667
2007,import,new zealand,denmark,6,Manufactured goods classified chiefly by material,10471541
2007,import,new zealand,estonia,6,Manufactured goods classified chiefly by material,23417
2007,import,new zealand,finland,6,Manufactured goods classified chiefly by material,40632920
2007,import,new zealand,france,6,Manufactured goods classified chiefly by material,68787959
2007,import,new zealand,germany,6,Manufactured goods classified chiefly by material,159741826
2007,import,new zealand,greece,6,Manufactured goods classified chiefly by material,6818364
2007,import,new zealand,hungary,6,Manufactured goods classified chiefly by material,4494504
2007,import,new zealand,iceland,6,Manufactured goods classified chiefly by material,677438
2007,import,new zealand,ireland,6,Manufactured goods classified chiefly by material,2220991
2007,import,new zealand,israel,6,Manufactured goods classified chiefly by material,12833097
2007,import,new zealand,italy,6,Manufactured goods classified chiefly by material,145682501
2007,import,new zealand,japan,6,Manufactured goods classified chiefly by material,226579299
2007,import,new zealand,rep. of korea,6,Manufactured goods classified chiefly by material,181680128
2007,import,new zealand,latvia,6,Manufactured goods classified chiefly by material,307546
2007,import,new zealand,lithuania,6,Manufactured goods classified chiefly by material,265241
2007,import,new zealand,luxembourg,6,Manufactured goods classified chiefly by material,6031686
2007,import,new zealand,mexico,6,Manufactured goods classified chiefly by material,12117437
2007,import,new zealand,netherlands,6,Manufactured goods classified chiefly by material,22623046
2007,import,new zealand,norway,6,Manufactured goods classified chiefly by material,3027720
2007,import,new zealand,poland,6,Manufactured goods classified chiefly by material,5519000
2007,import,new zealand,portugal,6,Manufactured goods classified chiefly by material,7197442
2007,import,new zealand,india,6,Manufactured goods classified chiefly by material,72557717
2007,import,new zealand,slovakia,6,Manufactured goods classified chiefly by material,920971
2007,import,new zealand,slovenia,6,Manufactured goods classified chiefly by material,2229942
2007,import,new zealand,spain,6,Manufactured goods classified chiefly by material,26916375
2007,import,new zealand,sweden,6,Manufactured goods classified chiefly by material,32580486
2007,import,new zealand,switzerland,6,Manufactured goods classified chiefly by material,11717288
2007,import,new zealand,turkey,6,Manufactured goods classified chiefly by material,14423020
2007,import,new zealand,united kingdom,6,Manufactured goods classified chiefly by material,90646449
2007,import,new zealand,usa,6,Manufactured goods classified chiefly by material,216603703
2007,import,czechia,australia,0,Food and live animals,256933
2007,import,czechia,austria,0,Food and live animals,234172534
2007,import,czechia,belgium,0,Food and live animals,147515713
2007,import,czechia,brazil,0,Food and live animals,127028983
2007,import,czechia,canada,0,Food and live animals,23370352
2007,import,czechia,chile,0,Food and live animals,14616568
2007,import,czechia,china,0,Food and live animals,88773328
2007,import,czechia,denmark,0,Food and live animals,65256119
2007,import,czechia,estonia,0,Food and live animals,4856341
2007,import,czechia,finland,0,Food and live animals,13807247
2007,import,czechia,france,0,Food and live animals,158522178
2007,import,czechia,germany,0,Food and live animals,1187665064
2007,import,czechia,greece,0,Food and live animals,42935066
2007,import,czechia,hungary,0,Food and live animals,193265739
2007,import,czechia,iceland,0,Food and live animals,1624126
2007,import,czechia,ireland,0,Food and live animals,32729332
