,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
germany,127161000.0,9405513000.0,10624907000.0,1541103000.0,692113000.0,2003227000.0,8799661000.0,5864514000.0,1476085000.0,114144000.0,4294491000.0,12855519000.0,0.0,541881000.0,1979181000.0,535514000.0,1675840000.0,336660000.0,301912000.0,13837682000.0,1806264000.0,192214000.0,133843000.0,2170142000.0,430576000.0,9428678000.0,49641000.0,1993335000.0,7062858000.0,1013879000.0,756438000.0,2017270000.0,1042295000.0,4590961000.0,5940041000.0,6861992000.0,2411313000.0,6778390000.0,4230489000.0
greece,63715282.0,175078600.0,314890891.0,40830276.0,67878158.0,359625951.0,974164081.0,47970484.0,20907710.0,1590625.0,107322391.0,382334063.0,1066326505.0,0.0,24305980.0,2632.0,180939859.0,1672096.0,44465507.0,2101651232.0,90273057.0,1393445.0,3325223.0,190650212.0,5977931.0,221564944.0,247872.0,76641982.0,91653958.0,62578539.0,165311887.0,49090330.0,24241812.0,381409451.0,111351783.0,26220419.0,824107037.0,143421656.0,92345616.0
hungary,153000.0,1266321000.0,302712000.0,25052000.0,22649000.0,46000.0,201574000.0,668309000.0,119648000.0,25367000.0,183310000.0,484133000.0,3970684000.0,35858000.0,0.0,1000.0,17300000.0,8255000.0,8869000.0,1182520000.0,143107000.0,10529000.0,6355000.0,54260000.0,2931000.0,403540000.0,128000.0,20762000.0,713328000.0,25168000.0,81377000.0,741250000.0,139964000.0,169401000.0,200486000.0,79323000.0,250603000.0,250862000.0,182819000.0
iceland,86833.0,11692567.0,20250226.0,632534.0,23163650.0,47385.0,60121853.0,6497931.0,108467663.0,5260234.0,28621862.0,20991762.0,153192642.0,455707.0,2919934.0,0.0,5370278.0,786985.0,480838.0,44262487.0,5935973.0,29372598.0,13594966.0,8403482.0,126189.0,58315257.0,223558.0,53725835.0,31965446.0,4468386.0,3430942.0,958984.0,2479222.0,14413228.0,82907244.0,8346015.0,7828297.0,50328693.0,43083563.0
india,306394901.0,122207098.0,4052386910.0,192184019.0,266160192.0,30160515.0,5291298046.0,32749665.0,28902267.0,838259.0,141489532.0,382554913.0,1228252923.0,18706014.0,5544237.0,113240.0,0.0,5382627.0,568559346.0,681654485.0,1072561442.0,1233833.0,749559.0,8134926.0,156137448.0,131880133.0,14097340.0,83006603.0,69083344.0,13844763.0,1556337295.0,15824274.0,14586861.0,227682625.0,327076253.0,256422076.0,92444263.0,2175779758.0,1226217206.0
ireland,5151818.0,44014477.0,242741887.0,37436015.0,20917819.0,353336.0,509020952.0,17395149.0,104785154.0,1694524.0,65322703.0,305717077.0,774865141.0,10058577.0,40156286.0,236697.0,93912628.0,0.0,8555710.0,254730169.0,38251238.0,24676868.0,4764520.0,24562943.0,1308254.0,177703998.0,3996096.0,48808471.0,81465367.0,69648113.0,52311181.0,1967462.0,9669633.0,245473678.0,210814192.0,46991965.0,171626182.0,3884376448.0,345607004.0
israel,31819000.0,95343000.0,3381053000.0,39101000.0,61866000.0,1666000.0,883728000.0,21115000.0,8727000.0,1127000.0,62929000.0,192549000.0,478686000.0,78623000.0,7890000.0,5917000.0,1270829000.0,4974000.0,0.0,501071000.0,70354000.0,2118000.0,173000.0,46660000.0,3143000.0,110196000.0,1135000.0,16191000.0,28621000.0,51028000.0,101244000.0,6087000.0,19719000.0,138958000.0,112604000.0,1132470000.0,708219000.0,1143574000.0,1601770000.0
italy,484345225.0,3630334516.0,3463777436.0,1358637364.0,380164957.0,2940751532.0,8004390905.0,1272724613.0,176388572.0,23028623.0,885495255.0,7262279506.0,13885329065.0,824595538.0,596184000.0,266306.0,1812173228.0,93569925.0,248036046.0,0.0,534244793.0,37676405.0,80124800.0,1054560535.0,132869075.0,3327779558.0,105727869.0,346854084.0,1305228458.0,469056913.0,1042275456.0,651209652.0,1020663119.0,4265896704.0,1933252588.0,1321415582.0,2076323709.0,2539873206.0,1530959036.0
japan,2531517258.0,405066313.0,400418183.0,1208517676.0,1072314259.0,428996970.0,15725882877.0,64216397.0,46615143.0,35316491.0,613259719.0,628679954.0,1340872889.0,13591373.0,16217286.0,6507476.0,867807905.0,18557226.0,157621463.0,606097200.0,0.0,2523034.0,2828609.0,29097990.0,193933872.0,126159463.0,862039020.0,515372906.0,37496285.0,28847480.0,5175973420.0,4561926.0,3219272.0,172760466.0,383677287.0,337342016.0,56568733.0,1029050773.0,4190835824.0
latvia,86683.0,44286049.0,49760236.0,4964791.0,6232059.0,422242.0,107946902.0,50027352.0,64852649.0,217777924.0,136116716.0,53572706.0,313579643.0,4664437.0,19559137.0,8760.0,12902631.0,2763498.0,875592.0,103764101.0,2105091.0,0.0,220676406.0,7981385.0,137056.0,48474542.0,3419.0,35553909.0,280451065.0,9287246.0,14473822.0,20475795.0,3397589.0,24620725.0,146422861.0,2233869.0,20666828.0,47288972.0,10918763.0
lithuania,89685.0,55729452.0,76564728.0,6708358.0,1535606.0,6602.0,171881979.0,87661041.0,130148998.0,178749082.0,129770773.0,80425827.0,584680217.0,5802963.0,18593745.0,242354.0,16795208.0,3635306.0,1318864.0,192961874.0,9351671.0,286828445.0,0.0,7884929.0,88598.0,79148646.0,7956.0,22234607.0,694446382.0,11297795.0,13549763.0,52760591.0,11683128.0,38131271.0,179957191.0,7392627.0,72909443.0,141228064.0,17967680.0
luxembourg,116778.0,88278949.0,862026447.0,25445545.0,1262753.0,194545.0,46783975.0,50067938.0,3009718.0,44817.0,47949249.0,777025418.0,1181992894.0,1798518.0,4992035.0,2529.0,20089399.0,753367.0,347152.0,109375993.0,6118393.0,273818.0,268101.0,0.0,4563437.0,297150826.0,13403.0,669280.0,85881670.0,6481744.0,1869045.0,8011304.0,17652407.0,61972508.0,39106122.0,18087782.0,48931488.0,124752385.0,45774304.0
