,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,26476.0,2171693.0,376227.0,3207711.0,0.0,59621711.0,0.0,179717.0,0.0,137009.0,4473225.0,7559919.0,30098.0,113107.0,1240.0,5150813.0,1183933.0,949.0,1315972.0,493903756.0,11809.0,539794.0,0.0,0.0,12707655.0,675232950.0,27055038.0,748902.0,6078.0,323214729.0,0.0,29978.0,1901370.0,935887.0,472825.0,6931.0,4707072.0,237514565.0
austria,6737459.0,0.0,108222165.0,446.0,190969.0,234.0,1859749.0,372544261.0,254195.0,308591.0,707190.0,31803284.0,5269576766.0,139917.0,499326055.0,0.0,5820.0,169908.0,44.0,460939526.0,612265.0,1793586.0,1470874.0,8254.0,27473.0,56866855.0,44.0,135338.0,454557619.0,0.0,8732720.0,728238991.0,5629873.0,2282302.0,2654951.0,115539292.0,797495.0,7989756.0,71049198.0
belgium,412841895.0,6227465.0,0.0,16430523.0,33914167.0,0.0,117695596.0,2790360.0,36913206.0,71591426.0,343013140.0,2171117562.0,1822613298.0,17410998.0,3345366.0,4735.0,80725070.0,5741249.0,4781.0,182190179.0,207833502.0,4010151.0,40176259.0,155135013.0,11965575.0,26527120402.0,44.0,3746613294.0,49835782.0,9530494.0,15337266.0,1233.0,360261.0,183567026.0,376681842.0,31299460.0,5386553.0,3080002598.0,672331577.0
brazil,551444967.0,51137554.0,28719321.0,0.0,161550552.0,1238927.0,242233059.0,2236863.0,45360717.0,11232.0,6540103.0,20481660.0,87614584.0,355.0,0.0,0.0,1096208686.0,993.0,14636050.0,76805979.0,60682835.0,9235.0,0.0,0.0,45168053.0,227707591.0,0.0,182522477.0,3280488.0,13683574.0,3578866.0,0.0,284.0,69058464.0,32478830.0,312347067.0,1038345.0,94871909.0,1733812891.0
canada,1998416.0,193905.0,952618634.0,3586992.0,0.0,102.0,60846440.0,6422.0,475458765.0,32669905.0,111500588.0,82176749.0,17406573.0,379667.0,3538.0,3193.0,449673.0,25653.0,183007.0,181950372.0,153783341.0,3813537.0,83957256.0,0.0,714302843.0,263966200.0,13017.0,4654005007.0,15028.0,32253328.0,34934893.0,19058.0,2355.0,165954142.0,71042892.0,1847639.0,26439.0,4191593745.0,10131782074.0
chile,118080647.0,30077.0,30772212.0,1397444544.0,540007348.0,0.0,10008196.0,979.0,238073.0,81017.0,68366.0,32320328.0,8595825.0,42387.0,3664.0,0.0,103772.0,1081951.0,24156.0,675481.0,224015686.0,506638.0,30799.0,0.0,819341.0,28541706.0,12992368.0,6327976.0,705.0,10687.0,1865154424.0,0.0,0.0,1687497.0,153970.0,29701.0,789969563.0,24126868.0,1809652732.0
china,1708026109.0,328324.0,15640719.0,981972620.0,230018182.0,0.0,0.0,1160181.0,369888.0,172109.0,84929.0,41574284.0,61446768.0,3069481.0,145.0,0.0,31663342.0,48123.0,11561.0,11099220.0,2097747278.0,2201219.0,2062345.0,8757.0,731871.0,17678614.0,7818410.0,91367690.0,2214.0,186.0,6531796024.0,0.0,0.0,17144224.0,4119761.0,818091.0,267752.0,111349876.0,411609636.0
czechia,31024.0,408733606.0,22659773.0,1755.0,677467.0,0.0,1629149.0,0.0,307014.0,438425.0,3258874.0,17775925.0,992391025.0,0.0,19737179.0,0.0,71908.0,708.0,603576.0,12184836.0,1086078.0,353653.0,2951156.0,0.0,0.0,17324946.0,0.0,51361.0,683620530.0,2454.0,151034.0,1072665924.0,1620282.0,1025226.0,1733082.0,2629840.0,52854.0,38889333.0,8576458.0
denmark,7522267.0,11085.0,48878559.0,317462.0,13196680.0,0.0,3177502.0,271.0,0.0,3714700.0,69953166.0,4366495.0,113830251.0,45163.0,2968855.0,8.0,84977189.0,356.0,50.0,3581015.0,36014275.0,33015390.0,6501977.0,24121.0,0.0,63290488.0,0.0,1750948623.0,66769637.0,0.0,436.0,20474.0,0.0,1849869.0,1180217101.0,311342.0,0.0,64484071.0,121125050.0
estonia,644.0,909394.0,15528600.0,0.0,10607.0,0.0,33959.0,2698927.0,288275.0,0.0,24467206.0,5860367.0,23570398.0,0.0,894.0,0.0,0.0,0.0,543.0,20731724.0,48853.0,8643540.0,463327079.0,0.0,0.0,4667435.0,0.0,31250883.0,82666323.0,239.0,31392.0,0.0,11409.0,265881.0,83846797.0,114492.0,0.0,12883598.0,38585901.0
