,australia,austria,belgium,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,luxembourg,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa
australia,0.0,171737077.0,333804458.0,651028159.0,252008954.0,315933948.0,570423086.0,1024207701.0,97824753.0,3745912.0,448210549.0,126846192.0,901084877.0,1941671572.0,7414582.0,298563497.0,102223128.0,52634686.0,267393700.0,350896153.0,160165670.0,145070279.0,570812479.0,2565020644.0
austria,66242813.0,0.0,867858661.0,210983374.0,188383273.0,434593319.0,1315317022.0,22665205799.0,92077313.0,2949016.0,64701026.0,44687716.0,4340875090.0,200036978.0,151064464.0,1532728954.0,191265264.0,159498922.0,662063389.0,685339151.0,1343754015.0,429176654.0,643583957.0,571848408.0
belgium,1524205050.0,881626638.0,0.0,1791963494.0,544929119.0,1409658482.0,17719030982.0,16274448070.0,192435347.0,102648285.0,514860289.0,2969068958.0,3486684427.0,1129134462.0,1231686102.0,43850688781.0,4022579461.0,394840737.0,2426407389.0,1820142674.0,977822151.0,1094490162.0,10293291942.0,3985316351.0
canada,678695341.0,239253506.0,1377946729.0,0.0,602572588.0,365468375.0,807562210.0,1554054686.0,83132031.0,16004851.0,66064496.0,210648816.0,1209860301.0,1374280043.0,72969886.0,729094025.0,4812406714.0,145299178.0,564871294.0,402758554.0,195943619.0,307092383.0,4885637700.0,57930385502.0
denmark,23321402.0,424149355.0,921264555.0,277188544.0,0.0,1094771249.0,1103639871.0,6938280311.0,53691456.0,121748137.0,219745580.0,25337639.0,1145512364.0,120703594.0,106211835.0,2372457166.0,2977735595.0,126048900.0,534616499.0,5406331708.0,136873520.0,172117034.0,1151984373.0,522829722.0
finland,1272498445.0,182976816.0,522293508.0,550496204.0,855465144.0,0.0,670357825.0,2689428567.0,249114359.0,21199132.0,233071615.0,28479460.0,602465542.0,81194913.0,47809146.0,2000810175.0,1087127012.0,199013242.0,409657617.0,3403390337.0,98705669.0,196851022.0,1479805402.0,644619100.0
france,974823678.0,1876895284.0,29981934795.0,992070830.0,1456173759.0,1963471429.0,0.0,28885727734.0,510228011.0,103020369.0,984077243.0,616782633.0,17241988350.0,879000830.0,1661993521.0,10072336646.0,8153322679.0,1812342679.0,14353849430.0,2709374373.0,2641217515.0,1346768402.0,11531593094.0,4549679506.0
germany,1443543000.0,12836225000.0,18090630000.0,2377136000.0,5639558000.0,5742247000.0,21902218000.0,0.0,1202870000.0,611677000.0,2039962000.0,668752000.0,19085227000.0,2212835000.0,2675492000.0,32978923000.0,12004439000.0,1424856000.0,9042293000.0,8643959000.0,9005911000.0,3788089000.0,18538694000.0,8370656000.0
greece,70656591.0,294942879.0,703404896.0,142729993.0,267769333.0,230625729.0,1416017558.0,2223172033.0,0.0,11356603.0,51132227.0,108251794.0,3117708874.0,91725346.0,192560387.0,1288108988.0,89737848.0,84947948.0,759633176.0,213120667.0,32576122.0,1213945872.0,358214849.0,498561393.0
iceland,43010545.0,14116758.0,38651527.0,54442817.0,196182633.0,36368492.0,36091977.0,195759858.0,611185.0,0.0,30202537.0,2318645.0,58281852.0,6242226.0,8454534.0,143835359.0,156374244.0,5106796.0,32024492.0,444450671.0,71186200.0,9798888.0,88231939.0,232007477.0
